-3,-1,3,3,0;-0.29263004198258585,3.3157419565932726,1.0
-3,0,3,3,-1;0.09791606635010666,3.4142572748667623,1.0
-3,0,3,3,0;-0.11563356657079522,3.3716887447666473,1.0
-2,-2,1,3,1;-1.7037912582970867,2.2962232861168674,1.0
-2,-2,1,3,2;-1.7231184693370547,2.291910275405652,1.0
-2,-2,2,3,1;-1.6632113781346154,2.314097047007583,1.0
-2,-1,2,3,0;-0.6917193197726488,2.614285322305908,1.0
-2,-1,2,3,1;-1.1981228608957322,2.467180247579174,1.0
-2,-1,3,3,0;-0.4929598564843781,3.037482872748165,1.0
-2,0,2,2,0;-0.007897198088049695,2.2938106708934956,1.0
-2,0,2,3,0;-0.28029715439636815,2.3829743755606914,1.0
-2,0,3,2,-1;0.44112461563500804,2.4671802475791735,1.0
-2,0,3,2,0;0.1791459904083333,2.355240280491815,1.0
-2,0,3,3,-1;0.40615646824919127,2.980230498225816,1.0
-2,0,3,3,0;-0.076182612337598,2.8142853223059077,1.0
-2,1,3,2,-2;1.4635511568540864,2.38528055392924,1.0
-2,1,3,2,-1;0.9410653604813577,2.5621686394509657,1.0
-2,1,3,3,-1;0.7163515972628544,2.905516664804247,1.0
-2,2,3,1,-2;1.69340441861603,2.2938106708934956,1.0
-2,2,3,2,-2;1.6026400943090522,2.323957381185744,1.0
-1,-3,0,3,3;-3.0453938829249325,1.3157419565932729,1.0
-1,-2,0,3,2;-2.391982218532674,1.4872062917419202,1.0
-1,-2,0,3,3;-2.7561404133682457,1.4081632532042265,1.0
-1,-2,1,3,1;-1.680402566674723,2.2571372235043166,1.0
-1,-2,1,3,2;-1.9444104355336034,1.8372412399392808,1.0
-1,-2,2,3,1;-1.6594121918032565,2.280256390914049,1.0
-1,-1,1,2,1;-1.0721419262907104,1.4434649290559707,1.0
-1,-1,1,2,2;-1.3981987731041483,1.291910275405652,1.0
-1,-1,1,3,1;-1.3958410020103496,1.862717165218723,1.0
-1,-1,1,3,2;-1.6149948331235136,1.5158776368730185,1.0
-1,-1,2,2,1;-0.809706315401514,1.6995053352209493,1.0
-1,-1,2,3,0;-0.6279964317641927,2.2533498052350303,1.0
-1,-1,2,3,1;-1.0358702123479049,2.0794332350196387,1.0
-1,0,1,2,0;-0.3272233919521555,1.296885575384894,1.0
-1,0,1,2,1;-0.6010217238526739,1.3852805539292403,1.0
-1,0,2,2,0;-0.10005884704046716,1.7738361488477026,1.0
-1,0,2,2,1;-0.6143899707784102,1.6618174571059536,1.0
-1,0,2,3,0;-0.45127561474034994,2.170386134060492,1.0
-1,0,2,3,1;-0.6458207609985078,1.9553990094706482,1.0
-1,0,3,2,-1;0.4234657924740745,2.2533498052350303,1.0
-1,0,3,2,0;0.3029403899738103,2.1981202291293687,1.0
-1,1,2,1,-1;0.9197767016155141,1.443464929055971,1.0
-1,1,2,1,0;0.5452836862683853,1.3705996012389152,1.0
-1,1,2,2,-1;0.6606619932839295,1.7223594864206646,1.0
-1,1,2,2,0;0.38561079653613667,1.6161302650007467,1.0
-1,1,3,1,-1;1.1751455707532457,1.7481380131377209,1.0
