-4,-1,4,4,-1;-0.059745964125700914,4.365389354121848,1.0
-4,-1,4,4,0;-0.20696820501915927,4.296773145929387,1.0
-4,0,4,4,-1;0.11150225844165214,4.3358057192652835,1.0
-3,-2,3,4,1;-1.4458262136421889,3.3589305446645827,1.0
-3,-1,3,4,0;-0.6752826715607517,3.51817575862189,1.0
-3,-1,3,4,1;-1.1546194612729246,3.4491810614171916,1.0
-3,-1,4,4,-1;-0.08727728928473812,4.1962003621235615,1.0
-3,-1,4,4,0;-0.32746092044715897,3.981438886088374,1.0
-3,0,3,4,0;-0.2134174377912542,3.335805719265283,1.0
-3,0,4,3,-1;0.5557907433093496,3.51817575862189,1.0
-3,0,4,3,0;0.11795149121374693,3.296773145929387,1.0
-3,0,4,4,-1;0.24020322914515266,3.9580193420868355,1.0
-3,0,4,4,0;-0.039824110089556684,3.4763264014456396,1.0
-3,1,4,3,-2;1.317157177004441,3.4220865749904363,1.0
-3,1,4,3,-1;0.9741862429655,3.5258225141635036,1.0
-2,-3,1,4,2;-2.7115384017004494,2.4755058970210886,1.0
-2,-3,1,4,3;-2.8096006989655473,2.3636079329490043,1.0
-2,-2,1,4,2;-2.5325744582721574,2.424493388078016,1.0
-2,-2,1,4,3;-2.7159328498804065,2.3235223658735964,1.0
-2,-2,2,4,1;-1.672934825481795,2.9596765568134615,1.0
-2,-2,2,4,2;-1.9714888725701514,2.539985353336941,1.0
-2,-2,3,4,1;-1.54327442270347,3.2177365453586084,1.0
-2,-1,2,3,0;-0.6154750389902875,2.450372496932803,1.0
-2,-1,2,3,1;-0.8129377569502285,2.41517341077357,1.0
-2,-1,2,4,1;-1.3789231446854262,2.5342252905884157,1.0
-2,-1,2,4,2;-1.6644706256421393,2.3235223658735964,1.0
-2,-1,3,3,0;-0.5997112572569332,2.639810162524123,1.0
-2,-1,3,3,1;-0.7272476961572508,2.608410855974026,1.0
-2,-1,3,4,0;-0.5978612790671214,3.044672564229718,1.0
-2,-1,3,4,1;-1.0557052780788132,2.9945689608719115,1.0
-2,0,2,3,0;-0.5339295046998764,2.3564078545133476,1.0
-2,0,2,3,1;-0.6130084014038719,2.3235223658735964,1.0
-2,0,3,2,0;0.38934968031937583,2.2802412188313195,1.0
-2,0,3,3,-1;0.4104194734014637,2.783705830266136,1.0
-2,0,3,3,0;0.004320414090826806,2.6202218723514443,1.0
-2,0,3,4,0;-0.2015476536578673,3.176063170033135,1.0
-2,0,4,3,-1;0.41742806075969663,3.1213140169760294,1.0
-2,0,4,3,0;0.11121186662754796,3.2234301927775246,1.0
-2,0,4,4,0;0.012331980895983289,3.2659492907506458,1.0
-2,1,3,2,-1;0.7896499929827442,2.379445120981739,1.0
-2,1,3,2,0;0.43442516128625874,2.2946725642297174,1.0
-2,1,3,3,-1;0.5851249734280881,2.555168059625988,1.0
-2,1,3,3,0;0.4330822741035465,2.3481838932710537,1.0
-2,1,4,2,-2;1.5672085598099115,2.959676556813461,1.0
-2,1,4,2,-1;1.2916654533834198,2.5108057465868776,1.0
-2,1,4,3,-2;1.477840953218331,3.1884621153566854,1.0
-2,1,4,3,-1;0.936213349827411,2.9945689608719106,1.0
-2,2,4,1,-3;2.5492921461917346,2.5551680596259874,1.0
-2,2,4,1,-2;2.4020343567729103,2.3861504188863725,1.0
-2,2,4,2,-3;2.5001118332111973,2.638467503890517,1.0
-2,2,4,2,-2;1.9654870990116853,2.579584151014393,1.0
-2,2,4,2,-1;1.4899160470726625,2.3235223658735964,1.0
-2,3,4,1,-3;2.6943625943900473,2.3928823629509264,1.0
-2,3,4,1,-2;2.5413782713109296,2.3235223658735964,1.0
-1,-4,-1,4,4;-4.226659625789374,1.3132280481711347,1.0
-1,-4,0,4,4;-4.142156330641826,1.4083327173172628,1.0
-1,-3,-1,4,4;-4.116184071472031,1.2871730413485116,1.0
-1,-3,0,4,3;-3.282738006902027,1.6237485676219745,1.0
-1,-3,0,4,4;-3.8504252242635175,1.4503577132202736,1.0
-1,-3,1,4,3;-3.03191333731954,2.063228048171135,1.0
-1,-2,0,3,3;-2.539620444160137,1.3145819686674176,1.0
-1,-2,0,4,3;-2.8192506352315303,1.408719550983661,1.0
-1,-2,1,3,2;-2.1558788315396353,1.4856555698547704,1.0
-1,-2,1,3,3;-2.4194663222222927,1.35690263504437,1.0
-1,-2,1,4,2;-2.1491236075594378,2.0031441177203155,1.0
-1,-2,1,4,3;-2.667201299466976,1.8237485676219745,1.0
-1,-2,2,4,2;-1.8477819158665918,2.2084837155152486,1.0
-1,-1,1,2,1;-0.987032240151798,1.2802412188313192,1.0
-1,-1,1,3,1;-1.1358809975405875,1.4311185796569865,1.0
-1,-1,1,3,2;-1.6663421834806726,1.6655979247982249,1.0
-1,-1,1,4,2;-1.7654476096254177,1.9963100581506659,1.0
-1,-1,2,3,1;-1.190332119273632,1.9938241404158696,1.0
-1,-1,2,3,2;-1.5778985045092913,1.9903768672241313,1.0
-1,-1,2,4,1;-1.5006112719258804,2.218083820096124,1.0
-1,-1,2,4,2;-1.671241985513864,2.1473553653719533,1.0
-1,0,1,2,1;-0.8705628300085672,1.3080291812832403,1.0
-1,0,1,3,1;-0.9147968012733778,1.378276069400771,1.0
-1,0,2,2,0;-0.05974596412570123,1.623748567621974,1.0
-1,0,2,2,1;-0.5365290735168725,1.4159196294193175,1.0
-1,0,2,3,0;-0.32386637142886243,2.0704281266067914,1.0
-1,0,2,3,1;-0.6752826715607518,1.823748567621974,1.0
-1,0,3,2,0;0.2584329019437235,2.0997025566087135,1.0
-1,0,3,3,0;0.012331980895983271,2.1872599649173825,1.0
-1,1,2,1,-1;0.8708799170409707,1.3204281266067912,1.0
-1,1,2,1,0;0.7677908836795594,1.296773145929387,1.0
-1,1,2,2,-1;0.7988102165071177,1.4023995263907274,1.0
-1,1,2,2,0;0.5109694974304481,1.441037735915827,1.0
-1,1,3,1,-1;1.0625772726684097,1.4035206840957666,1.0
-1,1,3,2,-1;1.0183624269032003,1.8851529982373576,1.0
-1,1,3,2,0;0.4676309147312533,1.966805519788556,1.0
-1,1,4,2,-1;1.4051453253483726,2.2571163934320206,1.0
-1,2,3,1,-2;1.9321726637805228,1.6237485676219738,1.0
-1,2,3,1,-1;1.4667116016396387,1.5446725642297174,1.0
-1,2,3,2,-2;1.6494610248591577,2.0204335151406223,1.0
-1,2,3,2,-1;1.4767129096516096,1.9853016653366486,1.0
-1,2,4,1,-2;2.141370150649143,2.040685562233766,1.0
-1,2,4,2,-2;1.7312835592734008,2.1644131984025776,1.0
-1,2,4,2,-1;1.4999173550846332,2.216805519788556,1.0
-1,3,3,0,-2;2.564284405952103,1.3145819686674172,1.0
-1,3,3,1,-2;2.3540328527371535,1.386177065046292,1.0
-1,3,4,0,-3;3.1632460786506242,1.6237485676219738,1.0
-1,3,4,0,-2;2.7538171657463906,1.3794451209817382,1.0
-1,3,4,1,-3;2.966479867834401,2.033953618169212,1.0
-1,3,4,1,-2;2.5477093712155736,1.823748567621974,1.0
-1,4,4,-1,-4;4.236970101442575,1.3271600706713444,1.0
-1,4,4,0,-4;4.039546212154841,1.4144131984025774,1.0
-1,4,4,0,-3;3.6146930897629503,1.5622970226010822,1.0
0,-4,-1,4,4;-4.317415397466504,1.1500824413865829,1.0
0,-3,-1,3,4;-3.538468665553787,0.5042110537961872,1.0
0,-3,-1,4,4;-4.0169424234147035,0.7797075043538753,1.0
0,-3,0,3,3;-3.2372695138195837,0.857471908271194,1.0
0,-3,0,3,4;-3.293006518127649,0.7826255736886193,1.0
0,-3,0,4,3;-3.2383681258645725,1.0811470726672965,1.0
0,-3,0,4,4;-3.5329826866338996,1.0478856406694226,1.0
0,-2,-1,3,3;-2.987232288448791,0.39202992707394446,1.0
0,-2,-1,3,4;-3.236189442506248,0.4668055197885561,1.0
0,-2,0,2,3;-2.3634141606229715,0.28024121883131947,1.0
